host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price_category,available_category
29688249,Manhattan,Harlem,40.82582,-73.94276,Private room,82,1,6,1,180,Cheapest price,Long term
137358866,Queens,Sunnyside,40.74658,-73.92007,Private room,42,30,1,103,0,Cheapest price,Short term
211136294,Bronx,Schuylerville,40.83757,-73.8353,Private room,62,1,14,5,229,Cheapest price,Long term
2426779,Brooklyn,Williamsburg,40.71483,-73.96216,Private room,120,1,124,1,292,Cheapest price,Very Long term
76103506,Manhattan,Lower East Side,40.71962,-73.98241,Entire home/apt,80,1,4,1,0,Cheapest price,Short term
108286255,Manhattan,Harlem,40.81264,-73.94231,Private room,60,1,3,1,0,Cheapest price,Short term
52577963,Queens,Woodhaven,40.69101,-73.8486,Entire home/apt,199,5,2,6,338,Cheapest price,Very Long term
36381094,Brooklyn,Park Slope,40.67177,-73.97882,Entire home/apt,229,3,22,1,0,Cheapest price,Short term
50862159,Manhattan,Harlem,40.80393,-73.9574,Private room,60,2,3,1,188,Cheapest price,Long term
201654234,Queens,Rockaway Beach,40.58739,-73.81746,Entire home/apt,75,2,35,1,125,Cheapest price,Medium term
10645724,Brooklyn,Crown Heights,40.67704,-73.93955,Private room,55,7,0,1,0,Cheapest price,Short term
16442583,Manhattan,East Harlem,40.79848,-73.93908,Private room,50,2,6,1,0,Cheapest price,Short term
17486785,Brooklyn,Bedford-Stuyvesant,40.68212,-73.9486,Private room,45,2,0,1,0,Cheapest price,Short term
49451877,Manhattan,Midtown,40.76374,-73.98089,Entire home/apt,350,2,2,1,0,Cheapest price,Short term
107058927,Brooklyn,Williamsburg,40.71957,-73.95828,Private room,50,4,0,1,0,Cheapest price,Short term
757166,Brooklyn,Bedford-Stuyvesant,40.68101,-73.94081,Entire home/apt,72,31,88,1,164,Cheapest price,Medium term
314256,Brooklyn,Crown Heights,40.6761,-73.9529,Private room,110,6,50,1,0,Cheapest price,Short term
34861728,Queens,Kew Gardens,40.70945,-73.83132,Private room,59,9,12,4,318,Cheapest price,Very Long term
3191371,Manhattan,East Harlem,40.80714,-73.93747,Private room,80,1,29,3,193,Cheapest price,Long term
11189753,Brooklyn,Fort Greene,40.68729,-73.96995,Entire home/apt,225,10,10,4,350,Cheapest price,Very Long term
17322363,Manhattan,Morningside Heights,40.80608,-73.96397,Entire home/apt,189,10,2,1,0,Cheapest price,Short term
226088610,Manhattan,Upper East Side,40.76812,-73.95093,Entire home/apt,150,7,0,1,365,Cheapest price,Very Long term
95054582,Brooklyn,Cobble Hill,40.68719,-73.99515,Private room,70,60,0,1,156,Cheapest price,Medium term
48170471,Brooklyn,Williamsburg,40.71906,-73.96338,Entire home/apt,85,2,0,2,0,Cheapest price,Short term
125857611,Manhattan,Harlem,40.81162,-73.95199,Entire home/apt,350,3,2,1,0,Cheapest price,Short term
15313500,Brooklyn,Williamsburg,40.71534,-73.95692,Entire home/apt,225,1,2,1,71,Cheapest price,Short term
1583594,Manhattan,Upper West Side,40.79913,-73.96057,Private room,60,2,19,1,0,Cheapest price,Short term
40032009,Manhattan,Morningside Heights,40.80391,-73.96576,Entire home/apt,140,5,0,2,0,Cheapest price,Short term
262570325,Manhattan,Hell's Kitchen,40.75967,-73.99219,Entire home/apt,499,3,6,1,361,Cheapest price,Very Long term
28546873,Brooklyn,Bedford-Stuyvesant,40.68995,-73.92844,Private room,45,3,9,1,80,Cheapest price,Short term
240055586,Queens,Fresh Meadows,40.73704,-73.79151,Entire home/apt,255,1,13,5,114,Cheapest price,Medium term
338562,Brooklyn,Boerum Hill,40.6836,-73.98285,Private room,62,2,4,1,0,Cheapest price,Short term
188338351,Manhattan,Hell's Kitchen,40.75654,-74.00012,Entire home/apt,177,1,5,1,86,Cheapest price,Short term
40176101,Brooklyn,Bedford-Stuyvesant,40.69003,-73.93085,Private room,79,1,284,7,67,Cheapest price,Short term
122374980,Manhattan,Upper West Side,40.78617,-73.97663,Shared room,60,1,67,4,81,Cheapest price,Short term
519554,Manhattan,Lower East Side,40.72051,-73.98777,Private room,69,3,1,5,270,Cheapest price,Very Long term
2637874,Brooklyn,Williamsburg,40.71666,-73.94552,Entire home/apt,140,3,60,1,197,Cheapest price,Long term
1530310,Brooklyn,Bedford-Stuyvesant,40.68905,-73.9541,Private room,65,7,2,3,0,Cheapest price,Short term
