host_id,neighbourhood_group,price,latitude,longitude
2787,Brooklyn,149,40.64749,-73.97237
2845,Manhattan,225,40.75362,-73.98377
4632,Manhattan,150,40.80902,-73.9419
4869,Brooklyn,89,40.68514,-73.95976
7192,Manhattan,80,40.79851,-73.94399
7322,Manhattan,200,40.74767,-73.975
7356,Brooklyn,60,40.68688,-73.95596
8967,Manhattan,79,40.76489,-73.98493
7490,Manhattan,79,40.80178,-73.96723
7549,Manhattan,150,40.71344,-73.99037
7702,Manhattan,135,40.80316,-73.96545
7989,Manhattan,85,40.76076,-73.98867
9744,Brooklyn,89,40.66829,-73.98779
11528,Manhattan,85,40.79826,-73.96113
11975,Manhattan,120,40.7353,-74.00525
15991,Brooklyn,140,40.70837,-73.95352
17571,Brooklyn,215,40.69169,-73.97185
18946,Manhattan,140,40.74192,-73.99501
20950,Brooklyn,99,40.67592,-73.94694
17985,Manhattan,190,40.79685,-73.94872
21207,Brooklyn,299,40.71842,-73.95718
22486,Brooklyn,130,40.68069,-73.97706
22486,Brooklyn,80,40.67989,-73.97798
22486,Brooklyn,110,40.68001,-73.97865
25183,Brooklyn,120,40.68371,-73.94028
25326,Brooklyn,60,40.65599,-73.97519
26394,Manhattan,80,40.86754,-73.92639
30193,Manhattan,150,40.76715,-73.98533
31374,Manhattan,44,40.86482,-73.92106
21904,Manhattan,180,40.7292,-73.98542
32294,Manhattan,50,40.82245,-73.95104
32045,Manhattan,52,40.81305,-73.95466
32169,Brooklyn,55,40.72219,-73.93762
32294,Manhattan,50,40.8213,-73.95318
35935,Brooklyn,70,40.6831,-73.95473
9744,Brooklyn,89,40.66869,-73.9878
7355,Brooklyn,35,40.68876,-73.94312
44145,Brooklyn,85,40.70186,-73.92745
45445,Brooklyn,150,40.63702,-73.96327
7549,Manhattan,40,40.71401,-73.98917
46978,Manhattan,68,40.7229,-73.98199
47610,Brooklyn,120,40.66278,-73.97966
47618,Brooklyn,120,40.69673,-73.97584
16800,Manhattan,135,40.79009,-73.97927
47727,Manhattan,150,40.81175,-73.94478
49670,Brooklyn,150,40.65944,-73.96238
50124,Queens,130,40.74771,-73.9474
50148,Brooklyn,110,40.68111,-73.95591
50846,Brooklyn,115,40.68554,-73.9409
52335,Brooklyn,80,40.69142,-73.97376
54275,Brooklyn,80,40.68043,-73.93934
56094,Manhattan,151,40.78635,-73.97008
56104,Brooklyn,228,40.7042,-73.9356
56246,Brooklyn,144,40.73506,-73.95392
56284,Manhattan,200,40.73961,-73.98074
56512,Brooklyn,150,40.70881,-73.9593
59023,Manhattan,110,40.72004,-73.99104
59734,Manhattan,69,40.75531,-73.99293
32169,Brooklyn,49,40.72401,-73.93788
60049,Manhattan,180,40.7221,-73.99775
60252,Brooklyn,80,40.71185,-73.96204
60278,Manhattan,375,40.74623,-73.9953
61491,Manhattan,250,40.77065,-73.95269
63588,Brooklyn,200,40.67811,-73.96428
63613,Brooklyn,55,40.69,-73.96788
63924,Manhattan,52,40.75979,-73.99119
64056,Brooklyn,225,40.67343,-73.98338
64442,Manhattan,80,40.72649,-73.97904
64522,Brooklyn,275,40.70933,-73.96792
4396,Manhattan,99,40.72298,-73.98474
65837,Manhattan,225,40.80164,-73.93922
66035,Manhattan,230,40.72162,-73.98008
66243,Manhattan,51,40.76342,-73.98865
68428,Manhattan,65,40.83139,-73.94095
68599,Brooklyn,105,40.68346,-73.96374
69829,Manhattan,190,40.72828,-73.98801
69942,Manhattan,200,40.76865,-73.95058
70091,Queens,70,40.75038,-73.90334
71512,Brooklyn,95,40.6932,-73.97267
71876,Manhattan,150,40.74138,-74.00197
72014,Brooklyn,145,40.71154,-73.96112
73051,Manhattan,110,40.82915,-73.95136
73128,Manhattan,285,40.71851,-73.98892
73469,Brooklyn,130,40.65401,-73.96323
44263,Manhattan,94,40.7114,-73.98794
74303,Brooklyn,800,40.69723,-73.99268
74857,Brooklyn,105,40.71833,-73.95748
62407,Manhattan,60,40.72334,-73.9844
76627,Manhattan,50,40.72912,-73.98057
72014,Brooklyn,85,40.71156,-73.96218
961342,Brooklyn,65,40.70032,-73.9383
78460,Brooklyn,131,40.68233,-73.97261
51038,Brooklyn,98,40.68634,-73.966
79070,Brooklyn,250,40.68035,-73.97162
79402,Brooklyn,100,40.70984,-73.95775
44145,Brooklyn,105,40.70093,-73.92609
42032,Manhattan,140,40.79764,-73.96177
82685,Manhattan,89,40.82803,-73.94731
83257,Manhattan,98,40.74008,-74.00271
87773,Brooklyn,125,40.68413,-73.92357
32294,Manhattan,60,40.82279,-73.95139
11481,Brooklyn,175,40.67967,-74.00154
63318,Manhattan,65,40.83927,-73.94281
93790,Manhattan,500,40.73096,-74.00319
97219,Brooklyn,101,40.71332,-73.94177
97797,Brooklyn,220,40.66941,-73.98109
87773,Brooklyn,125,40.68373,-73.92377
105538,Brooklyn,80,40.71459,-73.94844
107628,Manhattan,100,40.8092,-73.94421
109589,Brooklyn,200,40.68157,-73.98989
59734,Manhattan,59,40.75527,-73.99291
51038,Brooklyn,125,40.68698,-73.96572
112793,Manhattan,140,40.7288,-73.98192
42273,Brooklyn,120,40.66853,-73.98912
72062,Manhattan,350,40.7254,-73.98157
115157,Manhattan,199,40.74294,-73.98009
115307,Brooklyn,325,40.71942,-73.95748
115560,Manhattan,235,40.77823,-73.97637
72062,Manhattan,225,40.72555,-73.97965
118971,Brooklyn,99,40.66831,-73.98604
119510,Manhattan,170,40.82754,-73.94919
